formula,type,activity,Syngony,shape,"length, nm","width, nm","depth, nm",Sufrace,surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,Subtype,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C"
Co3O4,meo,peroxidase,7,nanoplate,68.4,642.2,642.2,additional,naked,therabloat,0,12600.00,0.0820,0.000065500,TMB + H2O2,TMB,0.0100,0.4000,2.000,0.0100000,6,25
Co3O4,meo,peroxidase,7,nanoplate,68.4,642.2,642.2,additional,naked,therabloat,0,12600.00,2.2200,0.000118200,H2O2 + TMB,H2O2,0.0010,5.0000,0.250,0.0100000,6,25
Co3O4,meo,peroxidase,7,flower-like sphere,360,360,360,naked,naked,0,0,0.00,0.2830,0.000105200,TMB + H2O2,TMB,0.0800,2.0000,10.000,0.0300000,4.5,30
Co3O4,meo,peroxidase,7,flower-like sphere,360,360,360,naked,naked,0,0,0.00,5.9322,0.000098500,H2O2 + TMB,H2O2,0.2860,100.0000,0.500,0.0300000,4.5,30
Co3O4,meo,peroxidase,7,gillyflower-like,30,3000,3000,naked,naked,0,0,0.00,0.1200,0.000000332,TMB + H2O2,TMB,0.5500,0.8000,25.000,0.0400000,4.4,40
Co3O4,meo,peroxidase,7,gillyflower-like,30,3000,3000,naked,naked,0,0,0.00,245.0000,0.000285000,H2O2 + TMB,H2O2,0.0010,"1,000.0000",0.800,0.0400000,4.4,40
CeO2,meo,peroxidase,7,rod-like,215,50,50,naked,naked,0,0,0.00,0.3000,0.000084300,TMB + H2O2,TMB,0.1000,0.6000,3.500,#REF!,4.5,32.5
CeO2,meo,peroxidase,7,rod-like,215,50,50,naked,naked,0,0,0.00,2.9700,0.000076700,H2O2 + TMB,H2O2,1.0000,5.0000,0.300,#REF!,4.5,32.5
CeO2,meo,peroxidase,7,rod-like,215,50,50,naked,naked,0,0,0.00,0.1200,0.000035000,TMB + H2O2,TMB,0.1000,0.6000,3.500,#REF!,7.4,32.5
CeO2,meo,peroxidase,7,rod-like,215,50,50,naked,naked,0,0,0.00,0.6200,0.000031300,H2O2 + TMB,H2O2,0.3000,0.3000,3.500,#REF!,7.4,32.5
CeO2,meo,peroxidase,7,rod-like,32.7,10,10,naked,naked,0,0,0.00,0.2400,0.000004000,TMB + H2O2,TMB,0.0100,2.5000,"1,000.000",0.0250000,4,25
CeO2,meo,peroxidase,7,cube-like,13,13,13,naked,naked,0,0,0.00,0.2170,0.000082000,TMB + H2O2,TMB,0.0100,2.5000,"1,000.000",0.0250000,4,25
CeO2,meo,peroxidase,7,cube-like,13,13,13,naked,naked,0,0,0.00,153.6000,0.000122000,H2O2 + TMB,H2O2,0.0010,"2,000.0000",500.000,0.0250000,4,25
CeO2,meo,peroxidase,7,fluorite,12,12,12,naked,naked,0,0,0.00,0.0460,0.000009400,TMB + H2O2,TMB,0.0100,0.8000,50.000,0.6000000,4,45
CeO2,meo,peroxidase,7,fluorite,12,12,12,naked,naked,0,0,0.00,64.6000,0.000050700,H2O2 + TMB,H2O2,10.0000,120.0000,5.000,0.6000000,4,45
CeO2,meo,peroxidase,7,fluorite,17,17,17,naked,naked,0,0,0.00,0.2690,0.000011350,TMB + H2O2,TMB,0.1000,1.0000,250.000,0.3000000,3.8,25
CeO2,meo,peroxidase,7,fluorite,17,17,17,naked,naked,0,0,0.00,3.1820,0.000009260,H2O2 + TMB,H2O2,2.0000,63.0000,1.000,0.3000000,3.8,25
CeO2,meo,peroxidase,7,,47,4,4,naked,naked,0,0,0.00,0.2740,0.000015900,TMB + H2O2,TMB,0.0500,6.0000,25.000,0.0057143,3.8,40
CeO2,meo,peroxidase,7,,47,4,4,naked,naked,0,0,0.00,0.2780,0.000008700,H2O2 + TMB,H2O2,1.0000,12.0000,2.500,0.0057143,3.8,40
CeO2,meo,peroxidase,7,rode-like,100,21,24,naked,naked,0,0,0.00,0.0753,0.000000401,TMB + H2O2,TMB,0.0100,0.0500,25.000,0.0400000,3.8,40
CeO2,meo,peroxidase,7,rode-like,100,21,24,naked,naked,0,0,0.00,0.9580,0.000002590,H2O2 + TMB,H2O2,2.0000,12.0000,0.050,0.0400000,3.8,40
CeO2,meo,peroxidase,7,spherical,54,54,54,additional,naked,poly(N-Vinylpyrrolidone) ,0,,0.6700,0.000003800,TMB + H2O2,TMB,0.0500,1.0000,50.000,0.1662434,3.5,40
CeO2,meo,peroxidase,7,spherical,54,54,54,additional,naked,poly(N-Vinylpyrrolidone) ,0,,2.5000,0.000166700,H2O2 + TMB,H2O2,0.5000,4.0000,100.000,0.1662434,3.5,40
Fe3O4,meo,peroxidase,7,spherical,590,590,590,additional,naked,0,tetramethylethylenediamine,116.24,3.3300,0.000002600,TMB + H2O2,TMB,0.0500,1.0000,50.000,0.1662434,3.5,40
Fe3O4,meo,peroxidase,7,spherical,590,590,590,additional,naked,0,tetramethylethylenediamine,116.24,3.7500,0.000083300,H2O2 + TMB,H2O2,0.5000,4.0000,100.000,0.1662434,3.5,40
CeO2,meo,peroxidase,7,,6,6,6,naked,naked,0,0,0.00,1.8700,0.000002590,TMB + H2O2,DAB,5.0000,40.0000,882.000,0.0020000,7.5,30
CeO2,meo,peroxidase,7,,12.4,12.4,12.4,naked,naked,0,0,0.00,12.4500,0.000002590,DAB + H2O2,DAB,5.0000,40.0000,882.000,0.0020000,7.5,30
CeO2,meo,peroxidase,7,nanorods,60,8,8,naked,naked,0,0,0.00,0.1470,0.000002590,TMB + H2O2,TMB,0.2000,1.8000,100.000,0.0002000,4,37
CeO2,meo,peroxidase,7,nanorods,60,8,8,naked,naked,0,0,0.00,293.0000,0.000002590,H2O2 + TMB,H2O2,0.0010,100.0000,0.800,0.0002000,4,37
CuO,meo,peroxidase,2,,6,6,6,naked,naked,0,0,0.00,0.0160,no,TMB + H2O2,TMB,0.0100,0.7000,"1,500.000",0.0040000,4,37
CuO,meo,peroxidase,2,,6,6,6,naked,naked,0,0,0.00,41.0000,no,H2O2 + TMB,H2O2,1.0000,400.0000,0.665,0.0040000,4,37
CuO,meo,peroxidase,2,platelet-like,21,14.5,14.5,naked,naked,0,0,0.00,0.1400,0.000014500,TMB + H2O2,TMB,0.0500,4.4000,3.300,0.5408329,4,25
CuO,meo,peroxidase,2,spherical,30,30,30,naked,naked,0,0,0.00,0.0130,no,TMB + H2O2,TMB,0.0100,0.7000,"1,500.000",0.0400000,4,40
CuO,meo,peroxidase,2,spherical,30,30,30,naked,naked,0,0,0.00,85.6000,no,H2O2 + TMB,H2O2,50.0000,"2,200.0000",0.665,0.0400000,4,40
MnO2,meo,peroxidase,4,filamentous,500,45,45,naked,naked,0,0,0.00,0.0800,0.000600000,ABTS + H2O2,ABTS,0.0010,1.0000,3.000,0.0050000,4,25
MnO2,meo,peroxidase,4,filamentous,500,45,45,naked,naked,0,0,0.00,0.0600,0.000600000,H2O2 + TMB,H2O2,0.0100,3.0000,1.000,0.0050000,4,25
MnO2,meo,peroxidase,4,flake-like,50,50,3,naked,naked,0,0,0.00,0.0800,0.000350000,TMB + H2O2,TMB,0.0100,0.6000,10.000,0.0200000,4,25
MnO2,meo,peroxidase,4,flake-like,50,50,3,naked,naked,0,0,0.00,0.0900,0.000340000,H2O2 + TMB,H2O2,0.1000,10.0000,0.600,0.0200000,4,25
Pd,me,peroxidase,7,,13.3,13.3,13.3,naked,naked,0,0,0.00,0.7400,0.000044200,TMB + H2O2,TMB,0.0100,0.8000,327.000,0.0016700,4,30
CeO2,meo,peroxidase,7,,58.5,13.5,13.5,naked,naked,0,0,0.00,0.4500,0.000015400,TMB + H2O2,TMB,0.0100,0.8000,327.000,0.0016700,4,27.5
Pd,me,peroxidase,7,,13.3,13.3,13.3,naked,naked,0,0,0.00,4.5000,0.000008400,H2O2 + TMB,H2O2,0.0010,800.0000,0.167,0.0016700,4,30
CeO2,meo,peroxidase,7,,58.5,13.5,13.5,naked,naked,0,0,0.00,28.6300,0.000005000,H2O2 + TMB,H2O2,0.0010,500.0000,0.167,0.0016700,4,27.5
V2O5,meo,peroxidase,3,wire-like,2000,100,100,naked,naked,0,0,0.00,0.0004,no,ABTS + H2O2,ABTS,0.0010,0.6800,1.000,0.0200000,4,25
V2O5,meo,peroxidase,3,wire-like,2000,100,100,naked,naked,0,0,0.00,0.0029,no,H2O2 + TMB,H2O2,0.0010,1.0000,0.680,0.0200000,4,25
VO,meo,peroxidase,7,dote-like,3.39,3.39,3.39,naked,naked,0,0,0.00,0.0843,0.002809000,H2O2 + TMB,H2O2,0.0050,0.1500,1.000,0.2000000,3,30
VO,meo,peroxidase,7,dote-like,3.39,3.39,3.39,naked,naked,0,0,0.00,0.2380,0.002730000,TMB + H2O2,TMB,0.0100,0.9000,0.300,0.2000000,3,30
VO2,meo,peroxidase,4,plate-like,150,40,25,naked,naked,0,0,0.00,0.1650,0.000024000,TMB + H2O2,TMB,0.0500,0.3000,5.000,0.0029703,4,25
VO2,meo,peroxidase,4,plate-like,150,40,25,naked,naked,0,0,0.00,0.0580,0.000014000,H2O2 + TMB,H2O2,0.0100,5.0000,0.100,0.0029703,4,25
VO2,meo,peroxidase,2,plate-like,700,103.1,103.1,naked,naked,0,0,0.00,0.1460,0.000001310,TMB + H2O2,TMB,0.0500,0.3000,5.000,0.0100000,5,25
VO2,meo,peroxidase,2,plate-like,700,103.1,103.1,naked,naked,0,0,0.00,1.6900,0.000001770,H2O2 + TMB,H2O2,0.1000,5.0000,0.100,0.0100000,5,25
UO2,meo,peroxidase,7,porous-hollow spheres,240,240,240,naked,naked,0,0,0.00,6.4230,0.000005840,H2O2 + TMB,H2O2,1.0000,7.0000,0.400,4.8000000,4.5,25
UO2,meo,peroxidase,7,porous-hollow spheres,240,240,240,naked,naked,0,0,0.00,0.5490,0.000006290,TMB + H2O2,TMB,0.1000,0.6000,4.500,4.8000000,4.5,25
Ir,me,peroxidase,7,,2.4,2.4,2.4,naked,naked,0,0,0.00,0.1200,0.000125600,TMB + H2O2,TMB,0.0010,0.2500,2.000,0.0001200,4,20
Ir,me,peroxidase,7,,2.4,2.4,2.4,naked,naked,0,0,0.00,3.2700,0.000225700,H2O2 + TMB,H2O2,0.0010,2.5000,0.250,0.0001200,4,20
Fe3O4,meo,peroxidase,7,,10,10,10,naked,naked,0,0,0.00,1.2200,0.004390000,ABTS + H2O2,ABTS,0.1000,2.5000,40.000,0.0400000,3.5,25
Cu2O,meo,peroxidase,7,sphere,200,200,200,naked,naked,0,0,0.00,0.2560,0.000007580,TMB + H2O2,TMB,0.0010,5.0000,5.000,10.0000000,4,40
Cu2O,meo,peroxidase,7,sphere,200,200,200,naked,naked,0,0,0.00,0.8600,0.000018100,H2O2 + TMB,H2O2,0.0010,5.0000,5.000,10.0000000,4,40
Cu2O,meo,peroxidase,7,sphere,200,200,200,naked,naked,0,0,0.00,0.1280,0.000011100,TMB + H2O2,TMB,0.0010,5.0000,5.000,10.0000000,4,40
Cu2O,meo,peroxidase,7,sphere,200,200,200,naked,naked,0,0,0.00,0.7290,0.000026800,H2O2 + TMB,H2O2,0.0010,5.0000,5.000,10.0000000,4,40
Cu2O,meo,peroxidase,7,cube,800,800,800,naked,naked,0,0,0.00,0.9000,0.000101700,TMB + H2O2,TMB,0.1000,1.0000,25.000,0.0250000,4,50
Cu2O,meo,peroxidase,7,cube,800,800,800,naked,naked,0,0,0.00,20.3800,0.000083800,H2O2 + TMB,H2O2,2.0000,50.0000,0.700,0.0250000,4,50
Au-Cu2O,comp,peroxidase,7,cube,850,850,850,naked,naked,0,0,0.00,0.2100,0.000060800,TMB + H2O2,TMB,0.1000,1.0000,25.000,0.0250000,4,50
Au-Cu2O,comp,peroxidase,7,cube,850,850,850,naked,naked,0,0,0.00,10.5600,0.000066800,H2O2 + TMB,H2O2,2.0000,50.0000,0.700,0.0250000,4,50
RuO2,meo,peroxidase,7,sphere,2,2,2,naked,naked,0,0,0.00,0.0990,0.000210000,TMB + H2O2,TMB,0.1000,1.0000,1.000,0.0200000,3,25
RuO2,meo,peroxidase,7,sphere,2,2,2,naked,naked,0,0,0.00,0.1460,0.000210000,H2O2 + TMB,H2O2,0.1000,1.0000,0.300,0.0200000,3,25
Au-CeO2,comp,peroxidase,7,sphere,75,75,75,additional,naked,0,Cetrimonium bromide,364.45,0.2900,0.000039000,TMB + H2O2,TMB,0.0500,5.0000,"2,000.000",0.0400000,4,45
Au-CeO2,comp,peroxidase,7,sphere,75,75,75,additional,naked,0,Cetrimonium bromide,364.45,44.6900,0.000022300,H2O2 + TMB,H2O2,0.0600,3.0000,1.000,0.0400000,4,45
ZnCo2O4,bimeo,peroxidase,7,sphere,250,250,250,additional,naked,poly(ethylene oxide),0,200.00,0.2300,0.000047500,H2O2 + TMB,H2O2,1.0000,8.0000,50.000,1.0000000,5,45
ZnCo2O4,bimeo,peroxidase,7,sphere,250,250,250,additional,naked,poly(ethylene oxide),0,200.00,0.4000,0.000059000,OPD + H2O2,OPD,0.5000,10.0000,100.000,1.0000000,5,45
LaCoO3,bimeo,peroxidase,5,sphere,70,70,70,additional,naked,0,Citric acid,192.12,0.2400,0.000349000,TMB + H2O2,TMB,0.0500,0.6000,100.000,0.0100000,6,25
LaCoO3,bimeo,peroxidase,5,sphere,70,70,70,additional,naked,0,Citric acid,192.12,15.0000,0.000350000,H2O2 + TMB,H2O2,5.0000,120.0000,25.000,0.0100000,6,25
LaNiO3,bimeo,peroxidase,7,cube,600,600,600,additional,naked,poly(N-Vinylpyrrolidone),0,58000.00,0.1050,0.000362000,TMB + H2O2,TMB,0.0010,0.6000,40.000,0.0200000,4.5,37
LaNiO3,bimeo,peroxidase,7,cube,600,600,600,additional,naked,poly(N-Vinylpyrrolidone),0,58000.00,90.0500,0.002600000,H2O2 + TMB,H2O2,0.0010,500.0000,1.000,0.0200000,4.5,37
CeVO4,bimeo,peroxidase,4,rod,80,10,10,additional,naked,0,EDTA,292.24,1.3260,0.000036100,TMB + H2O2,TMB,0.1000,0.8000,2.000,0.3000000,4,25
CeVO4,bimeo,peroxidase,4,rod,80,10,10,additional,naked,0,EDTA,292.24,0.1570,0.000085300,H2O2 + TMB,H2O2,0.1000,50.0000,0.800,0.3000000,4,25
Tb2(MoO4)3,bimeo,peroxidase,4,plate-like,300,300,40,naked,naked,0,0,0.00,0.9110,0.000010100,TMB + H2O2,TMB,0.0010,0.1400,0.200,5.0000000,4,25
Tb2(MoO4)3,bimeo,peroxidase,4,plate-like,300,300,40,naked,naked,0,0,0.00,0.0350,0.000026800,H2O2 + TMB,H2O2,0.0010,0.0160,1.300,5.0000000,4,25
Ni0.84Pd,bime,peroxidase,5,sphere,40,40,40,additional,naked,0,trisodium citrate,192.12,0.1100,0.000015200,TMB + H2O2,TMB,0.0100,0.5000,50.000,0.0036000,5,25
Ni0.84Pd,bime,peroxidase,5,sphere,40,40,40,additional,naked,0,trisodium citrate,192.12,0.6600,0.000261800,H2O2 + TMB,H2O2,0.0010,1.8000,0.250,0.0036000,5,25
NiTe,bime,peroxidase,5,rod,5000,45,45,naked,naked,0,0,0.00,0.0110,0.000042700,ABTS + H2O2,ABTS,0.0010,60.0000,0.100,2.0000000,4,30
NiTe,bime,peroxidase,7,sphere,30,30,30,additional,naked,0,Sodium citrate,192.12,1.3610,0.003097000,TMB + H2O2,TMB,0.0010,1.2000,"1,000.000",0.1000000,4,22
Pt,me,peroxidase,7,sphere,2,2,2,additional,naked,0,trisodium citrate,192.12,0.4200,0.000030200,TMB + H2O2,TMB,0.0010,3.2000,500.000,0.0162000,5,22
Pt,me,peroxidase,7,sphere,2,2,2,additional,naked,0,trisodium citrate,192.12,84.0700,0.000037326,H2O2 + TMB,H2O2,0.0010,700.0000,0.416,0.0162000,5,22
Pt,me,peroxidase,7,sphere,3,3,3,naked,naked,0,0,0.00,0.0960,0.000141400,TMB + H2O2,TMB,0.0500,0.6000,10.000,0.5000000,5,30
Pt,me,peroxidase,7,sphere,3,3,3,naked,naked,0,0,0.00,3.0700,0.000181700,H2O2 + TMB,H2O2,0.0010,20.0000,0.500,0.5000000,5,30
Ru,me,peroxidase,2,sphere,25,25,25,naked,naked,0,0,0.00,0.2340,0.000082500,TMB + H2O2,TMB,0.0500,0.1500,0.100,0.0100000,7.4,22
Ru,me,peroxidase,2,sphere,25,25,25,naked,naked,0,0,0.00,2.2060,0.000582667,H2O2 + TMB,H2O2,0.0500,0.2000,0.100,0.0100000,7.4,22
Au,me,peroxidase,,spherical,8.1,8.1,8.1,cover,poly(ethylene oxide),0,0,6000.00,0.1550,0.000083200,TMB + H2O2,TMB,0.0500,2.0000,"1,000.000",0.1100000,4,37
Au,me,peroxidase,,spherical,8.1,8.1,8.1,cover,poly(ethylene oxide),0,0,6000.00,191.0000,0.000063800,H2O2 + TMB,H2O2,50.0000,"2,000.0000",0.500,0.0700000,4,37
Au,me,peroxidase,,spherical,8.1,8.1,8.1,cover,poly(ethylene oxide),0,0,6000.00,0.1970,0.000147000,TMB + H2O2,TMB,0.0500,2.0000,"1,000.000",0.1100000,4,37
Au,me,peroxidase,,spherical,8.1,8.1,8.1,cover,poly(ethylene oxide),0,0,6000.00,175.0000,0.000087600,H2O2 + TMB,H2O2,50.0000,"2,000.0000",0.500,0.0700000,4,37
Au,me,peroxidase,,spherical,15.3,15.3,15.3,cover,trisodium citrate,0,0,192.12,0.1340,0.000096500,TMB + H2O2,TMB,0.0500,2.0000,"1,000.000",0.1100000,4,37
Au,me,peroxidase,,spherical,15.3,15.3,15.3,cover,trisodium citrate,0,0,192.12,213.0000,0.000106000,H2O2 + TMB,H2O2,50.0000,"2,000.0000",0.500,0.0700000,4,37
Au,me,peroxidase,,spherical,15.3,15.3,15.3,cover,trisodium citrate,0,0,192.12,0.1680,0.000131000,TMB + H2O2,TMB,0.0500,2.0000,"1,000.000",0.1100000,4,37
Au,me,peroxidase,,spherical,15.3,15.3,15.3,cover,trisodium citrate,0,0,192.12,196.0000,0.000098300,H2O2 + TMB,H2O2,50.0000,"2,000.0000",0.500,0.0700000,4,37
CeO2,meo,peroxidase,7,spherical,5,5,5,naked,naked,0,0,17.99,0.0620,0.000550000,ABTS + H2O2,ABTS,0.0001,1.5000,5.000,0.0100000,4,25
CeO2,meo,peroxidase,7,spherical,5,5,5,naked,naked,0,0,17.99,0.1400,0.000063000,TMB + H2O2,TMB,0.0001,1.5000,0.010,0.0100000,4,25
CeO2,meo,peroxidase,7,rode-like,200,21,21,cover,Tetrakis(4-carboxyphenyl)porphine,0,0,790.79,1.0600,0.000269000,TMB + H2O2,TMB,0.0050,0.0300,0.010,0.0400000,3.8,40
CeO2,meo,peroxidase,7,rode-like,200,21,21,cover,Tetrakis(4-carboxyphenyl)porphine,0,0,790.79,36.6000,0.000004960,H2O2 + TMB,H2O2,1.0000,12.0000,0.050,0.0400000,3.8,40
CeO2,meo,peroxidase,7,,4,4,4,cover,Tetrakis(4-carboxyphenyl)porphine,0,0,790.79,0.0854,0.004350000,TMB + H2O2,TMB,1.0000,6.0000,0.050,0.0057143,3.8,40
CeO2,meo,peroxidase,7,,4,4,4,cover,Tetrakis(4-carboxyphenyl)porphine,0,0,790.79,0.2540,0.000013100,H2O2 + TMB,H2O2,1.0000,12.0000,0.050,0.0057143,3.8,40
Fe3O4,meo,peroxidase,7,spherical,500,500,500,cover,Adenosine triphosphate,0,0,551.14,0.0880,0.000004060,TMB + H2O2,TMB,0.0010,0.8000,0.010,0.0500000,4,25
Fe3O4,meo,peroxidase,7,spherical,500,500,500,cover,Adenosine triphosphate,0,0,551.14,30.2400,0.000003420,H2O2 + TMB,H2O2,0.0010,200.0000,0.500,0.0500000,4,25
Fe3O4,meo,peroxidase,7,,30,30,30,cover,sodium citrate,0,0,192.12,0.2400,0.000170000,TMB + H2O2,TMB,0.0010,3.0000,0.010,0.3500000,7.4,37
Fe3O4,meo,peroxidase,7,,40,40,40,cover,dextran,0,0,14400.00,0.3000,0.000125000,TMB + H2O2,TMB,0.0010,3.0000,0.010,0.3500000,7.4,37
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Heparin,0,0,15000.00,0.2200,0.000240000,TMB + H2O2,TMB,0.0010,3.0000,0.010,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Glycine,0,0,75.07,0.5500,0.000096000,TMB + H2O2,TMB,0.0010,3.0000,0.010,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,poly(L-lysine),0,0,10000.00,0.6900,0.000046000,TMB + H2O2,TMB,0.0010,3.0000,0.010,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Poly(ethylenimine),0,0,10000.00,0.7100,0.000042000,TMB + H2O2,TMB,0.0010,3.0000,0.010,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,30,30,30,cover,sodium citrate,0,0,192.12,0.7300,0.000145000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,dextran,0,0,14400.00,0.8100,0.000115000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Heparin,0,0,15000.00,0.9600,0.000052000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Glycine,0,0,75.07,0.2000,0.000297000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,poly(L-lysine),0,0,10000.00,0.1900,0.000450000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,40,40,40,cover,Poly(ethylenimine),0,0,10000.00,0.1200,0.000610000,ABTS + H2O2,ABTS,0.0010,2.5000,0.005,11.6666667,7.4,25
Fe3O4,meo,peroxidase,7,,3.5,3.5,3.5,cover,Dopamine,0,0,153.18,0.0028,0.000014200,H2O2 + TMB,H2O2,0.0000,0.0001,3.650,0.0200000,4.6,25
MnFe2O4,bimeo,peroxidase,7,,2.7,2.7,2.7,cover,Dopamine,0,0,153.18,0.0003,0.000119200,H2O2 + TMB,H2O2,0.0000,0.0001,3.650,0.0200000,4.6,25
NiFe2O4,bimeo,peroxidase,7,,2.6,2.6,2.6,cover,Dopamine,0,0,153.18,0.0003,0.000039600,H2O2 + TMB,H2O2,0.0000,0.0001,3.650,0.0200000,4.6,25
CuFe2O4,bimeo,peroxidase,7,,2.3,2.3,2.3,cover,Dopamine,0,0,153.18,0.0012,0.000082300,H2O2 + TMB,H2O2,0.0000,0.0001,3.650,0.0200000,4.6,25
CoFe2O4,bimeo,peroxidase,7,,2.2,2.2,2.2,cover,Dopamine,0,0,153.18,0.0052,0.000239000,H2O2 + TMB,H2O2,0.0000,0.0001,3.650,0.0200000,4.6,25
Ir,me,peroxidase,0,,3.5,3.5,3.5,cover,tannic acid,0,0,1701.19,0.0300,0.000017000,TMB + H2O2,TMB,0.0250,0.3000,5.000,0.00003844,4,35
Ir,me,peroxidase,0,,3.5,3.5,3.5,cover,tannic acid,0,0,1701.19,18.0200,0.000081000,H2O2 + TMB,H2O2,2.5000,30.0000,0.120,0.00003844,4,35
FeWO4,bimeo,peroxidase,2,nanosheet,15.7,15.7,15.7,cover,poly(ethylene oxide),oleic acid,0,282.50,0.0300,0.000122500,TMB + H2O2,TMB,0.0500,0.5000,0.100,151.8413000,4,25
FeWO4,bimeo,peroxidase,2,nanosheet,15.7,15.7,15.7,cover,poly(ethylene oxide),oleic acid,0,282.50,3.2600,0.004350000,H2O2 + TMB,H2O2,0.0050,0.1000,0.300,151.8413000,4,25
Fe2O3,meo,peroxidase,7,,250,250,250,cover,Dopamine,0,0,153.18,0.0992,0.000001560,TMB + H2O2,TMB,0.1000,1.0000,700.000,0.0150000,3.6,25
Fe2O3,meo,peroxidase,7,,250,250,250,cover,Dopamine,0,0,153.18,114.0000,0.000001970,H2O2 + TMB,H2O2,100.0000,"1,000.0000",0.900,0.0150000,3.6,25
CeO2,meo,oxidase,,spherical,5,5,5,naked,naked,0,0,0.00,0.1800,0.001200000,ABTS,ABTS,0.0001,1.5000,0.000,0.0100000,4,25
CeO2,meo,oxidase,,spherical,5,5,5,naked,naked,0,0,0.00,1.5000,0.000069000,TMB,TMB,0.0001,1.5000,0.000,0.0100000,4,25
Mn3O4,meo,oxidase,4,spherical,150,150,150,naked,naked,0,0,0.00,0.0250,0.000050700,TMB,TMB,0.0300,1.0000,0.000,0.0050000,3.5,35
MnO2,meo,oxidase,4,spherical,70,70,70,naked,naked,0,0,0.00,0.0612,0.000306000,AR,AR,0.0025,0.1000,0.000,0.0500000,9,25
Fe3O4,meo,oxidase,7,spherical,35,35,35,naked,naked,0,0,0.00,0.0963,0.000001100,AR,AR,0.0025,0.1000,0.000,0.0500000,9,25
Mn2Fe2O5,bimeo,oxidase,7,spherical,75,75,75,naked,naked,0,0,0.00,0.0342,0.000244000,AR,AR,0.0025,0.1000,0.000,0.0500000,9,25
Mn2Fe2O5,bimeo,oxidase,7,spherical,51,51,51,naked,naked,0,0,0.00,0.0401,0.000310000,AR,AR,0.0025,0.1000,0.000,0.0500000,9,25
Mn2Fe2O5,bimeo,oxidase,7,spherical,39,39,39,naked,naked,0,0,0.00,0.0486,0.000625000,AR,AR,0.0025,0.1000,0.000,0.0500000,9,25
CeO2,meo,oxidase,7,cube,10.2,10.2,10.2,additional,naked,poly(N-Vinylpyrrolidone),0,55000.00,0.9600,0.000190000,TMB,TMB,0.1000,0.6500,0.000,0.3300000,4,25
CeO2,meo,oxidase,7,flowers,31.1,31.1,31.1,additional,naked,poly(N-Vinylpyrrolidone),0,55000.00,26.6400,0.000060000,TMB,TMB,0.1000,0.6500,0.000,0.3300000,4,25
CeO2,meo,oxidase,7,flowers,6.1,6.1,6.1,additional,naked,poly(N-Vinylpyrrolidone),0,55000.00,0.0700,0.000100000,TMB,TMB,0.1000,0.6500,0.000,0.3300000,4,25
CeO2,meo,oxidase,7,rode-like,150,8,8,naked,naked,0,0,0.00,0.3500,0.000140000,TMB,TMB,0.1000,1.0000,0.000,0.2000000,4,25
Co3O4,meo,oxidase,7,,5,5,5,naked,naked,0,0,0.00,0.0510,0.000033000,TMB,TMB,0.0200,0.1400,0.000,0.0400000,4,40
Co3O4,meo,oxidase,7,spherical,5,5,5,naked,naked,0,0,0.00,0.0370,0.000032000,ABTS,ABTS,0.0050,0.1200,0.000,0.0400000,4,40
NiO,meo,oxidase,7,spherical,20,20,20,naked,naked,0,0,0.00,0.0006,no,AR,AR,0.0001,0.0014,0.000,0.2000000,7.4,25
CuCo2O4,bimeo,oxidase,,,1500,300,300,naked,naked,0,0,0.00,0.0320,0.000217000,TMB,TMB,0.0500,0.1800,0.000,0.1000000,4,25
MnCo2O4,bimeo,oxidase,7,sphere,60,60,60,naked,naked,0,0,0.00,0.0090,0.000060400,TMB,TMB,0.0100,0.1000,0.000,0.0100000,4,25
NiCo2O4,bimeo,oxidase,7,spinel,100,100,100,naked,naked,0,0,0.00,0.1270,0.000009990,TMB,TMB,0.0800,1.6000,0.200,0.0200000,4,37
Co3O4,meo,oxidase,7,,360,360,360,naked,naked,0,0,0.00,0.0469,0.045900000,TMB,TMB,0.0800,2.0000,0.000,0.0300000,4.5,30
MoO3,meo,oxidase,3,,3,3,3,naked,naked,0,0,0.00,1.6769,no,ABTS,ABTS,0.0010,30.0000,0.000,0.0500000,5,37
CeO2,meo,oxidase,7,spherical,5,5,5,cover,poly(acrylic acid),0,0,18000.00,3.8000,0.000700000,TMB,TMB,0.4500,1.5000,0.000,,4,37
